product_id,product_name,brand,shelf,category,description
108050729,Sprite Soda Pop Lemon Lime - 1 Liter,Sprite,Lemon-Lime-Citrus-Soda,Beverages,"With its cool, satisfying, and refreshing citrus taste, Sprite is the soda that ignites your senses to keep you on your toes. 
  
As the OG, the head honcho in the lemon-lime flavored soft drink biz, Sprite was, is, and will always be an innovator. An inventor. Keeping things interesting for you, no matter how you drink it. It’s a big challenge, but one that Sprite’s not afraid of—because innovators aren’t afraid of anything. 
  
Every sip of Sprite is refreshing, so it should come as no surprise why Sprite and lemon-lime have become synonymous. As the awe-inspiring trendsetter of the iconic flavor, Sprite never fails to deliver exactly what it promises, every single time. After all, it’s been doing that for 50 years already.
  
For the people who love a little more zing, there’s a variety of different Sprite flavors, like Cherry and Tropical Mix, as well as zero calorie and zero sugar options. And while the original Sprite is its own brand of perfection, its different flavor options offer a brand-new soda experience. 
   
Sprite delivers intense, crisp citrus taste in every single sip. So when it comes to the ultimate lemon-lime flavored drink, there’s only one place to turn—the flavor that started it all."
108050873,Sprite Soda Lemon Lime - 24-12 Fl. Oz.,Sprite,Lemon-Lime-Citrus-Soda,Beverages,"Designers, artists, musicians, athletes. Tastemakers, changemakers and trend-setters. They’ve all got something in common—a thirst. For cutting through the noise with a perspective all their own. And Sprite helps them quench that thirst.
It’s a one-of-a-kind, citrus soda that’s got a lemon-lime flavor made with cut through refreshment, making sure you’re ready to leave your mark.
How? By keeping it real. Just like you do, an iconic flavor, and whatever you can think of next.​ It’s all you need to pursue your passions—a moment to take a sip, refresh your senses, and get back to pushing the boundaries wherever you go.
Sprite has been the clear choice for lemon-lime soda lovers since 1961. It’s made with 100% natural flavors and comes in a variety of sizes and flavors, leaving something for everyone.
So, pick up a 12oz can of 24 pack of caffeine-free Sprite soda today and make your mark."
108051814,Canada Dry Zero Sugar Ginger Ale Soda Cans - 12-12 Fl. Oz.,Canada Dry,Ginger-Ale,Beverages,"Sip into your comfort zone with the crisp goodness of Canada Dry Zero Sugar Ginger Ale. There comes a time when we all need a break from the treadmill of life, and there’s only one thing to do during those moments when we need an escape from stresses and obligations... Grab an ice-cold can of Canada Dry Ginger Ale, and sip into your comfort zone. Whether that means you’re sitting on your front porch swing, listening to your favorite podcast or just taking a quiet moment for yourself, Canada Dry Ginger Ale Zero Sugar is the perfect ginger ale to make it even better. And it's caffeine free! Once transported to the comfort zone, you can enjoy the refreshing ginger taste made with only high quality ingredients, soothing you with each comforting sip. For over 100 years, Canada Dry has been creating quality carbonated beverages and mixers that can be enjoyed at any time of day. Never skimping on quality, Canada Dry Ginger Ale Zero Sugar offers a refreshing ginger taste that's caffeine free and contains zero calories. Enhance your favorite cocktails with a sparkling splash of Canada Dry Zero Sugar or enjoy by itself for crisp, clean refreshment. So grab an ice-cold can of Canada Dry Zero Sugar, sink into your favorite chair, and sip into the comfort zone."
108010020,Diet Coke Soda Pop Cola 6 Count - 16.9 Fl. Oz.,Diet Coke,Cola,Beverages,"Enjoy a break with the one and only Diet Coke. This diet soda is your perfect no-sugar, no-calorie companion. With its bold taste, Diet Coke is an everyday hero when it comes to refreshing your day.

Diet Coke's distinctive taste comes from its blend of flavors and the fizz of carbonation, all without the calories. Whether you're looking for some me time or just want to brighten your day, this everyday go-to is the perfect companion. 

Every sip of Diet Coke delivers the same great taste that's delighted fans for years. A trusted soft drink for over four decades, Diet Coke helps you make the most of any occasion. With each sip of its bold taste, you'll find your ""ahh"" moment. So when you want a sugar-free soda that doesn't sacrifice on taste, open happiness and reach for a Diet Coke."
108010060,Diet Coke Soda Pop Cola Caffeine Free - 6-16.9 Fl. Oz.,Diet Coke,Cola,Beverages,"Crisp, cold and reliable, this is your everyday wing (wo)man—Diet Coke. Your deliciously fizzy go-to companion. This is the kind of sugar-free soda that you want throughout your day. Whether you’re looking for a refreshing start to your day or to refresh your afternoon, you'll never be lost with a Diet Coke.
  
Diet Coke always hits the spot. Alongside meals, celebrations or just your friends in your backyard, at any time of day. In fact, it’s basically a friend itself. Because it’s the best kind of familiar, and something you never have to second guess. You trust it, and it’s always there for you whenever you want it. 
 
With no caffeine added, Diet Coke Caffeine Free has a crisp, cold taste that gets you excited. And if you’re looking to delight your taste buds even more, there’s a host of different Diet Coke flavors to satisfy your needs. Really, it’s the diet cola you know you can turn to, no matter what you’re looking for. 
 
So when you want a diet soda, think Diet Coke. Because Diet Coke is an original, just like you. Oh yeah, and it’s incredibly refreshing. Always."
108010223,Coca-Cola Soda Pop Caffeine Free - 12.12 Fl. Oz.,Coca-Cola,Cola,Beverages,"Soda. Pop. Soft drink. Sparkling beverage. 

Whatever you call it, nothing compares to the refreshing, crisp taste of Coca-Cola Caffeine Free, the delicious soda you know and love, available without caffeine. Enjoy with friends, on the go or with a meal. Whatever the occasion, wherever you are, Coca-Cola Caffeine Free makes life’s special moments a little bit better.

Something so delicious, so unique and so familiar, it’s what makes you think “Coca-Cola” whenever you hear “soft drink.” Between that perfect taste and the refreshing fizz, it’s sure to give you that “ahhh” moment whenever you want it. 

Coca-Cola is available in many different options, including Coca-Cola Original Taste, Coca-Cola Zero Sugar, and a variety of all-time favorite flavors like Coca-Cola Cherry and Coca-Cola Vanilla. Whatever you’re looking for, there’s a Coca-Cola to satisfy your taste buds.
 
Every sip, every “ahhh,” every smile—find that feeling with Coca-Cola Caffeine Free. Best enjoyed ice-cold for maximum refreshment. Grab a Coca-Cola Caffeine Free, take a sip and find your “ahhh” moment.

Enjoy Coca-Cola Caffeine Free."
108010130,Pepsi Soda Diet Caffeine Free - 6-16.9 Fl. Oz.,Pepsi,Cola,Beverages,Enjoy Diet Caffeine Free Pepsi Cola with 0 calories and no caffeine.
108010222,Coca-Cola Soda Pop Classic - 12-12 Fl. Oz.,Coca-Cola,Cola,Beverages,"There's nothing quite like the crisp, refreshing taste of an ice-cold Coca-Cola. Carefully crafted in 1886, Coca-Cola's great taste has stood the test of time. This soda is the perfect companion for both special moments and everyday enjoyment.

Each sip of Coca-Cola's signature taste brings a smile. This refreshing soft drink is meant to be enjoyed anytime, anywhere, making life's moments more magical. Coca-Cola's secret formula has been carefully crafted to create a taste experience like no other. The familiar fizz and caffeine give you an instant ""ahh"" moment with every sip. 

Pop open a Coca-Cola and drink in the moments that make life special. Whether spending time with loved ones or taking a quick break to recharge, Coca-Cola makes the ordinary extraordinary. Refreshing the world for over 130 years, Coca-Cola continues to bring people together and spread optimism wherever it goes. Find your magic and make life delicious with an ice-cold Coca-Cola."
108050651,Sprite Soda Pop Lemon Lime Pack In Cans - 12-12 Fl. Oz.,Sprite,Lemon-Lime-Citrus-Soda,Beverages,"Designers, artists, musicians, athletes. Tastemakers, changemakers and trend-setters. They’ve all got something in common—a thirst. For cutting through the noise with a perspective all their own. And Sprite helps them quench that thirst.
It’s a one-of-a-kind, citrus soda that’s got a lemon-lime flavor made with cut through refreshment, making sure you’re ready to leave your mark.
How? By keeping it real. Just like you do, an iconic flavor, and whatever you can think of next.​ It’s all you need to pursue your passions—a moment to take a sip, refresh your senses, and get back to pushing the boundaries wherever you go.
Sprite has been the clear choice for lemon-lime soda lovers since 1961. It’s made with 100% natural flavors and comes in a variety of sizes and flavors, leaving something for everyone.
So, pick up a 12oz can 12 pack of caffeine-free Sprite soda today and make your mark."
108051456,Sprite Zero Sugar Soda Pop Lemon Lime - 2 Liter,Sprite,Lemon-Lime-Citrus-Soda,Beverages,"Designers, artists, musicians, athletes. Tastemakers, changemakers and trend-setters. They’ve all got something in common—a thirst. For cutting through the noise with a perspective all their own. And Sprite Zero Sugar helps them quench that thirst.
It’s a one-of-a-kind, zero sugar citrus soda that’s got a lemon-lime flavor made with cut through refreshment, making sure you’re ready to leave your mark.
How? By keeping it real. Just like you do, an iconic flavor, and whatever you can think of next.​ It’s all you need to pursue your passions—a moment to take a sip, refresh your senses, and get back to pushing the boundaries wherever you go.
Sprite has been the clear choice for zero sugar lemon-lime soda lovers since 1961. It’s made with 100% natural flavors and comes in a variety of sizes and flavors, leaving something for everyone.
So, pick up a 2 liter bottle of caffeine-free Sprite Zero Sugar soda today and make your mark."
